x   P0  dP0  P1  dP1  P2  dP2  P3  dP3  P4  dP4  P5  dP5
-1 1 0  -1 1  1 -3  -1 6  1 -10  -1 15  
-0.95 1 0  -0.95 1  0.85375 -2.85  -0.718437 5.26875  0.55409 -7.87906  -0.372744 10.2556  
-0.9 1 0  -0.9 1  0.715 -2.7  -0.4725 4.575  0.207938 -6.0075  0.0411412 6.44644  
-0.85 1 0  -0.85 1  0.58375 -2.55  -0.260313 3.91875  -0.0505977 -4.37219  0.285664 3.46337  
-0.8 1 0  -0.8 1  0.46 -2.4  -0.08 3.3  -0.233 -2.96  0.39952 1.203  
-0.75 1 0  -0.75 1  0.34375 -2.25  0.0703125 2.71875  -0.350098 -1.75781  0.416382 -0.432129  
-0.7 1 0  -0.7 1  0.235 -2.1  0.1925 2.175  -0.412062 -0.7525  0.365199 -1.53356  
-0.65 1 0  -0.65 1  0.13375 -1.95  0.288437 1.66875  -0.42841 0.0690625  0.27049 -2.18694  
-0.6 1 0  -0.6 1  0.04 -1.8  0.36 1.2  -0.408 0.72  0.15264 -2.472  
-0.55 1 0  -0.55 1  -0.04625 -1.65  0.409062 0.76875  -0.359035 1.21344  0.0281948 -2.46257  
-0.5 1 0  -0.5 1  -0.125 -1.5  0.4375 0.375  -0.289062 1.5625  -0.0898438 -2.22656  
-0.45 1 0  -0.45 1  -0.19625 -1.35  0.447187 0.01875  -0.204973 1.78031  -0.191722 -1.826  
-0.4 1 0  -0.4 1  -0.26 -1.2  0.44 -0.3  -0.113 1.88  -0.27064 -1.317  
-0.35 1 0  -0.35 1  -0.31625 -1.05  0.417813 -0.58125  -0.0187227 1.87469  -0.322455 -0.749754  
-0.3 1 0  -0.3 1  -0.365 -0.9  0.3825 -0.825  0.0729375 1.7775  -0.345386 -0.168563  
-0.25 1 0  -0.25 1  -0.40625 -0.75  0.335938 -1.03125  0.157715 1.60156  -0.339722 0.388184  
-0.2 1 0  -0.2 1  -0.44 -0.6  0.28 -1.2  0.232 1.36  -0.30752 0.888  
-0.15 1 0  -0.15 1  -0.46625 -0.45  0.216563 -1.33125  0.29284 1.06594  -0.252317 1.30431  
-0.1 1 0  -0.1 1  -0.485 -0.3  0.1475 -1.425  0.337938 0.7325  -0.178829 1.61644  
-0.05 1 0  -0.05 1  -0.49625 -0.15  0.0746875 -1.48125  0.365652 0.372813  -0.0926587 1.80962  
0 1 0  0 1  -0.5 0  -0 -1.5  0.375 -0  0 1.875  
0.05 1 0  0.05 1  -0.49625 0.15  -0.0746875 -1.48125  0.365652 -0.372813  0.0926587 1.80962  
0.1 1 0  0.1 1  -0.485 0.3  -0.1475 -1.425  0.337937 -0.7325  0.178829 1.61644  
0.15 1 0  0.15 1  -0.46625 0.45  -0.216562 -1.33125  0.29284 -1.06594  0.252317 1.30431  
0.2 1 0  0.2 1  -0.44 0.6  -0.28 -1.2  0.232 -1.36  0.30752 0.888  
0.25 1 0  0.25 1  -0.40625 0.75  -0.335938 -1.03125  0.157715 -1.60156  0.339722 0.388184  
0.3 1 0  0.3 1  -0.365 0.9  -0.3825 -0.825  0.0729375 -1.7775  0.345386 -0.168563  
0.35 1 0  0.35 1  -0.31625 1.05  -0.417813 -0.58125  -0.0187227 -1.87469  0.322455 -0.749754  
0.4 1 0  0.4 1  -0.26 1.2  -0.44 -0.3  -0.113 -1.88  0.27064 -1.317  
0.45 1 0  0.45 1  -0.19625 1.35  -0.447187 0.01875  -0.204973 -1.78031  0.191722 -1.826  
0.5 1 0  0.5 1  -0.125 1.5  -0.4375 0.375  -0.289062 -1.5625  0.0898438 -2.22656  
0.55 1 0  0.55 1  -0.04625 1.65  -0.409062 0.76875  -0.359035 -1.21344  -0.0281948 -2.46257  
0.6 1 0  0.6 1  0.04 1.8  -0.36 1.2  -0.408 -0.72  -0.15264 -2.472  
0.65 1 0  0.65 1  0.13375 1.95  -0.288438 1.66875  -0.42841 -0.0690625  -0.27049 -2.18694  
0.7 1 0  0.7 1  0.235 2.1  -0.1925 2.175  -0.412062 0.7525  -0.365199 -1.53356  
0.75 1 0  0.75 1  0.34375 2.25  -0.0703125 2.71875  -0.350098 1.75781  -0.416382 -0.432129  
0.8 1 0  0.8 1  0.46 2.4  0.08 3.3  -0.233 2.96  -0.39952 1.203  
0.85 1 0  0.85 1  0.58375 2.55  0.260313 3.91875  -0.0505977 4.37219  -0.285664 3.46337  
0.9 1 0  0.9 1  0.715 2.7  0.4725 4.575  0.207937 6.0075  -0.0411413 6.44644  
0.95 1 0  0.95 1  0.85375 2.85  0.718437 5.26875  0.55409 7.87906  0.372744 10.2556  
1 1 0  1 1  1 3  1 6  1 10  1 15  
